Session ID,Customer ID,Pages Visited,Timestamp Interaction
SESS_0030,CUST_0891,"['Category Page', 'Homepage', 'Order Confirmation Page', 'Cart Page', 'Checkout Page', 'Product Detail Page']",2024-08-10 20:05:49
SESS_0031,CUST_0100,"['Order Confirmation Page', 'Homepage', 'Checkout Page', 'Cart Page', 'Product Detail Page', 'Category Page']",2024-09-07 00:55:54
SESS_0032,CUST_0640,"['Cart Page', 'Homepage', 'Checkout Page']",2023-10-10 09:03:53
SESS_0033,CUST_0565,"['Cart Page', 'Order Confirmation Page', 'Category Page']",2022-10-01 02:47:14
SESS_0034,CUST_0008,"['Category Page', 'Order Confirmation Page', 'Product Detail Page', 'Cart Page', 'Checkout Page', 'Homepage']",2023-03-18 06:07:22
SESS_0035,CUST_0466,"['Cart Page', 'Checkout Page', 'Order Confirmation Page']",2023-03-20 02:02:35
SESS_0036,CUST_0028,"['Checkout Page', 'Category Page', 'Product Detail Page', 'Order Confirmation Page']",2023-10-18 03:11:35
SESS_0037,CUST_0866,"['Order Confirmation Page', 'Category Page', 'Product Detail Page', 'Cart Page', 'Homepage', 'Checkout Page']",2024-07-22 20:41:25
SESS_0038,CUST_0708,"['Checkout Page', 'Order Confirmation Page', 'Homepage', 'Cart Page', 'Category Page', 'Product Detail Page']",2023-10-05 22:54:14
SESS_0039,CUST_0276,"['Order Confirmation Page', 'Product Detail Page', 'Category Page', 'Homepage', 'Checkout Page']",2022-09-02 08:28:47
SESS_0040,CUST_0357,"['Product Detail Page', 'Homepage', 'Category Page', 'Cart Page', 'Order Confirmation Page', 'Checkout Page']",2023-12-19 05:23:13
SESS_0041,CUST_0507,"['Category Page', 'Order Confirmation Page', 'Checkout Page', 'Homepage', 'Cart Page', 'Product Detail Page']",2023-05-14 13:00:48
SESS_0042,CUST_0388,"['Category Page', 'Product Detail Page', 'Homepage', 'Order Confirmation Page']",2024-04-11 09:56:42
SESS_0043,CUST_0972,"['Order Confirmation Page', 'Cart Page', 'Category Page', 'Checkout Page', 'Homepage']",2023-12-15 11:29:49
SESS_0044,CUST_0795,"['Product Detail Page', 'Order Confirmation Page', 'Cart Page']",2024-08-16 15:32:16
SESS_0045,CUST_0683,"['Product Detail Page', 'Cart Page', 'Homepage', 'Checkout Page', 'Order Confirmation Page']",2024-04-30 03:01:39
SESS_0046,CUST_0494,"['Order Confirmation Page', 'Checkout Page', 'Category Page', 'Homepage', 'Product Detail Page']",2023-03-06 09:30:50
SESS_0047,CUST_0649,"['Order Confirmation Page', 'Category Page', 'Homepage', 'Product Detail Page', 'Cart Page']",2024-06-19 16:39:40
SESS_0048,CUST_0956,"['Cart Page', 'Category Page', 'Checkout Page', 'Order Confirmation Page', 'Homepage', 'Product Detail Page']",2023-04-17 22:25:44
SESS_0049,CUST_0865,"['Category Page', 'Cart Page', 'Homepage', 'Product Detail Page']",2023-05-16 06:46:41
SESS_0050,CUST_0864,"['Homepage', 'Checkout Page', 'Cart Page']",2022-12-20 20:25:22
SESS_0051,CUST_0274,"['Homepage', 'Category Page', 'Checkout Page', 'Cart Page']",2023-08-01 10:41:12
SESS_0052,CUST_0963,"['Order Confirmation Page', 'Category Page', 'Homepage', 'Product Detail Page', 'Checkout Page', 'Cart Page']",2023-10-14 05:21:10
SESS_0053,CUST_0176,"['Product Detail Page', 'Homepage', 'Category Page']",2023-07-09 07:39:41
SESS_0054,CUST_0944,"['Checkout Page', 'Product Detail Page', 'Homepage']",2023-09-25 14:20:17
SESS_0055,CUST_0692,"['Order Confirmation Page', 'Homepage', 'Product Detail Page', 'Cart Page']",2022-12-21 17:53:25
SESS_0056,CUST_0339,"['Product Detail Page', 'Order Confirmation Page', 'Homepage']",2024-03-09 04:29:02
SESS_0057,CUST_0152,"['Checkout Page', 'Product Detail Page', 'Homepage', 'Cart Page']",2024-08-23 07:26:19
SESS_0058,CUST_0538,"['Homepage', 'Category Page', 'Checkout Page', 'Product Detail Page']",2024-06-19 01:58:29
SESS_0059,CUST_0081,"['Order Confirmation Page', 'Category Page', 'Cart Page', 'Checkout Page', 'Homepage']",2022-09-01 08:38:57
SESS_0060,CUST_0168,"['Order Confirmation Page', 'Category Page', 'Checkout Page', 'Product Detail Page']",2024-05-10 02:32:32
SESS_0061,CUST_0110,"['Homepage', 'Cart Page', 'Checkout Page', 'Product Detail Page', 'Category Page']",2024-01-05 17:26:46
SESS_0062,CUST_0894,"['Cart Page', 'Homepage', 'Order Confirmation Page', 'Checkout Page', 'Category Page']",2022-11-23 07:58:34
SESS_0063,CUST_0393,"['Order Confirmation Page', 'Checkout Page', 'Product Detail Page', 'Category Page', 'Homepage', 'Cart Page']",2023-10-09 05:03:50
SESS_0064,CUST_0359,"['Product Detail Page', 'Homepage', 'Category Page', 'Checkout Page', 'Order Confirmation Page', 'Cart Page']",2024-04-16 06:18:23
SESS_0065,CUST_0359,"['Homepage', 'Category Page', 'Product Detail Page', 'Order Confirmation Page']",2024-07-08 18:15:42
SESS_0066,CUST_0475,"['Category Page', 'Order Confirmation Page', 'Product Detail Page', 'Homepage', 'Checkout Page', 'Cart Page']",2022-08-03 08:35:11
SESS_0067,CUST_0937,"['Cart Page', 'Checkout Page', 'Product Detail Page']",2023-12-02 02:16:22
SESS_0068,CUST_0960,"['Order Confirmation Page', 'Checkout Page', 'Product Detail Page', 'Cart Page']",2023-11-09 22:43:31
SESS_0069,CUST_0120,"['Order Confirmation Page', 'Category Page', 'Product Detail Page', 'Cart Page']",2024-09-06 12:29:00
SESS_0070,CUST_0107,"['Product Detail Page', 'Order Confirmation Page', 'Checkout Page']",2024-07-03 06:23:40
SESS_0071,CUST_0131,"['Homepage', 'Checkout Page', 'Cart Page', 'Product Detail Page', 'Order Confirmation Page', 'Category Page']",2022-09-14 08:19:39
SESS_0072,CUST_0859,"['Order Confirmation Page', 'Category Page', 'Product Detail Page', 'Homepage', 'Cart Page']",2023-11-25 15:00:08
SESS_0073,CUST_0085,"['Checkout Page', 'Order Confirmation Page', 'Cart Page', 'Homepage']",2024-03-20 19:11:50
SESS_0074,CUST_0009,"['Category Page', 'Checkout Page', 'Cart Page', 'Product Detail Page', 'Order Confirmation Page']",2023-02-07 11:42:02
SESS_0075,CUST_0254,"['Category Page', 'Order Confirmation Page', 'Checkout Page', 'Cart Page', 'Product Detail Page']",2023-06-23 07:15:48
SESS_0076,CUST_0564,"['Order Confirmation Page', 'Category Page', 'Product Detail Page', 'Checkout Page', 'Cart Page']",2023-05-21 02:37:29
SESS_0077,CUST_0718,"['Order Confirmation Page', 'Product Detail Page', 'Cart Page', 'Category Page', 'Homepage', 'Checkout Page']",2023-04-05 15:17:18
SESS_0078,CUST_0363,"['Homepage', 'Checkout Page', 'Order Confirmation Page', 'Product Detail Page']",2023-06-03 09:13:04
SESS_0079,CUST_0486,"['Product Detail Page', 'Homepage', 'Cart Page']",2023-03-22 08:15:08
SESS_0080,CUST_0026,"['Cart Page', 'Homepage', 'Category Page', 'Product Detail Page']",2024-09-02 09:45:28
SESS_0081,CUST_0899,"['Product Detail Page', 'Category Page', 'Cart Page', 'Homepage', 'Order Confirmation Page', 'Checkout Page']",2023-01-23 20:13:09
SESS_0082,CUST_0668,"['Category Page', 'Homepage', 'Product Detail Page', 'Checkout Page', 'Cart Page', 'Order Confirmation Page']",2023-08-01 12:43:52
SESS_0083,CUST_0896,"['Order Confirmation Page', 'Product Detail Page', 'Homepage']",2024-01-12 02:20:03
SESS_0084,CUST_0655,"['Homepage', 'Category Page', 'Checkout Page', 'Cart Page', 'Order Confirmation Page', 'Product Detail Page']",2022-12-12 23:34:08
SESS_0085,CUST_0861,"['Order Confirmation Page', 'Category Page', 'Checkout Page', 'Homepage', 'Product Detail Page', 'Cart Page']",2024-10-02 01:17:43
SESS_0086,CUST_0791,"['Cart Page', 'Checkout Page', 'Product Detail Page', 'Homepage', 'Order Confirmation Page']",2022-10-14 18:31:11
SESS_0087,CUST_0660,"['Order Confirmation Page', 'Category Page', 'Product Detail Page', 'Checkout Page', 'Cart Page', 'Homepage']",2023-10-09 20:07:12
SESS_0088,CUST_0123,"['Category Page', 'Order Confirmation Page', 'Cart Page', 'Checkout Page']",2023-09-03 02:20:39
SESS_0089,CUST_0784,"['Cart Page', 'Product Detail Page', 'Checkout Page', 'Order Confirmation Page', 'Homepage', 'Category Page']",2023-01-23 13:45:06
SESS_0090,CUST_0147,"['Cart Page', 'Checkout Page', 'Category Page', 'Product Detail Page', 'Order Confirmation Page']",2023-09-30 23:09:30
SESS_0091,CUST_0671,"['Homepage', 'Order Confirmation Page', 'Product Detail Page', 'Cart Page']",2023-07-11 19:25:36
SESS_0092,CUST_0095,"['Cart Page', 'Homepage', 'Order Confirmation Page']",2023-02-28 13:35:09
SESS_0093,CUST_0560,"['Checkout Page', 'Category Page', 'Cart Page', 'Product Detail Page', 'Order Confirmation Page', 'Homepage']",2023-01-02 11:07:20
SESS_0094,CUST_0987,"['Checkout Page', 'Category Page', 'Cart Page', 'Homepage', 'Order Confirmation Page', 'Product Detail Page']",2024-08-24 13:25:53
SESS_0095,CUST_0054,"['Category Page', 'Product Detail Page', 'Cart Page', 'Checkout Page', 'Order Confirmation Page', 'Homepage']",2022-09-22 21:17:05
SESS_0096,CUST_0707,"['Order Confirmation Page', 'Product Detail Page', 'Homepage', 'Category Page', 'Checkout Page', 'Cart Page']",2023-09-19 20:53:02
SESS_0097,CUST_0738,"['Product Detail Page', 'Homepage', 'Category Page', 'Checkout Page']",2023-07-30 08:59:23
SESS_0098,CUST_0635,"['Category Page', 'Product Detail Page', 'Order Confirmation Page', 'Checkout Page', 'Cart Page']",2024-02-09 22:17:14
SESS_0099,CUST_0528,"['Order Confirmation Page', 'Cart Page', 'Homepage', 'Category Page', 'Product Detail Page', 'Checkout Page']",2024-07-05 15:14:48
SESS_0100,CUST_0541,"['Checkout Page', 'Product Detail Page', 'Order Confirmation Page', 'Category Page', 'Homepage', 'Cart Page']",2023-09-13 09:50:05
SESS_0101,CUST_0694,"['Checkout Page', 'Homepage', 'Cart Page', 'Product Detail Page', 'Order Confirmation Page', 'Category Page']",2023-03-23 17:29:17
SESS_0102,CUST_0581,"['Cart Page', 'Order Confirmation Page', 'Checkout Page', 'Category Page', 'Product Detail Page', 'Homepage']",2022-10-07 09:59:16
SESS_0103,CUST_0922,"['Homepage', 'Cart Page', 'Order Confirmation Page']",2022-08-08 09:09:59
SESS_0104,CUST_0117,"['Cart Page', 'Category Page', 'Checkout Page', 'Homepage']",2024-02-21 18:28:52
SESS_0105,CUST_0792,"['Checkout Page', 'Product Detail Page', 'Category Page', 'Homepage']",2024-04-19 10:54:59
SESS_0106,CUST_0212,"['Checkout Page', 'Product Detail Page', 'Homepage', 'Category Page', 'Cart Page']",2023-08-06 02:05:46
SESS_0107,CUST_0978,"['Product Detail Page', 'Cart Page', 'Checkout Page', 'Category Page', 'Homepage']",2023-06-17 00:34:10
SESS_0108,CUST_0074,"['Category Page', 'Product Detail Page', 'Checkout Page']",2024-07-16 00:13:13
SESS_0109,CUST_0079,"['Homepage', 'Order Confirmation Page', 'Cart Page', 'Product Detail Page', 'Checkout Page', 'Category Page']",2023-05-18 04:12:37
SESS_0110,CUST_0932,"['Product Detail Page', 'Category Page', 'Order Confirmation Page', 'Homepage']",2024-01-21 00:28:31
SESS_0111,CUST_0245,"['Product Detail Page', 'Checkout Page', 'Cart Page']",2024-03-03 04:21:02
SESS_0112,CUST_0842,"['Order Confirmation Page', 'Category Page', 'Homepage']",2022-08-17 06:48:37
SESS_0113,CUST_0326,"['Homepage', 'Category Page', 'Cart Page', 'Checkout Page', 'Order Confirmation Page']",2022-12-14 06:45:09
SESS_0114,CUST_0304,"['Category Page', 'Order Confirmation Page', 'Checkout Page']",2022-09-06 15:08:54
SESS_0115,CUST_0606,"['Category Page', 'Cart Page', 'Product Detail Page']",2022-11-28 09:31:35
SESS_0116,CUST_0670,"['Checkout Page', 'Cart Page', 'Order Confirmation Page', 'Product Detail Page', 'Homepage', 'Category Page']",2024-05-18 10:37:39
SESS_0117,CUST_0494,"['Checkout Page', 'Homepage', 'Order Confirmation Page', 'Category Page', 'Product Detail Page']",2022-09-27 17:28:37
SESS_0118,CUST_0626,"['Order Confirmation Page', 'Homepage', 'Cart Page', 'Product Detail Page']",2024-05-06 10:03:35
SESS_0119,CUST_0025,"['Homepage', 'Order Confirmation Page', 'Checkout Page', 'Category Page', 'Cart Page', 'Product Detail Page']",2023-04-21 01:37:36
SESS_0120,CUST_0378,"['Category Page', 'Cart Page', 'Product Detail Page']",2024-01-25 14:57:27
SESS_0121,CUST_0810,"['Cart Page', 'Category Page', 'Homepage', 'Order Confirmation Page', 'Checkout Page']",2023-01-08 12:23:04
SESS_0122,CUST_0945,"['Cart Page', 'Homepage', 'Order Confirmation Page', 'Category Page', 'Checkout Page', 'Product Detail Page']",2024-08-12 09:34:09
SESS_0123,CUST_0141,"['Checkout Page', 'Homepage', 'Category Page', 'Product Detail Page', 'Order Confirmation Page', 'Cart Page']",2023-04-03 01:35:51
SESS_0124,CUST_0496,"['Category Page', 'Checkout Page', 'Order Confirmation Page', 'Homepage', 'Product Detail Page']",2023-06-19 08:00:16
SESS_0125,CUST_0440,"['Order Confirmation Page', 'Product Detail Page', 'Checkout Page']",2023-05-29 11:39:42
SESS_0126,CUST_0800,"['Product Detail Page', 'Checkout Page', 'Homepage', 'Order Confirmation Page', 'Cart Page']",2023-04-01 19:11:44
SESS_0127,CUST_0641,"['Homepage', 'Category Page', 'Product Detail Page', 'Cart Page', 'Checkout Page', 'Order Confirmation Page']",2024-05-01 02:34:49
SESS_0128,CUST_0270,"['Category Page', 'Order Confirmation Page', 'Cart Page', 'Homepage']",2024-05-04 13:47:03
SESS_0129,CUST_0207,"['Category Page', 'Homepage', 'Product Detail Page', 'Checkout Page']",2022-11-03 04:53:39
SESS_0130,CUST_0450,"['Homepage', 'Product Detail Page', 'Checkout Page', 'Cart Page', 'Order Confirmation Page', 'Category Page']",2024-10-06 07:19:31
SESS_0131,CUST_0514,"['Homepage', 'Category Page', 'Checkout Page', 'Cart Page']",2023-03-06 18:24:06
SESS_0132,CUST_0230,"['Product Detail Page', 'Checkout Page', 'Category Page', 'Homepage', 'Cart Page', 'Order Confirmation Page']",2024-07-08 05:12:38
SESS_0133,CUST_0266,"['Category Page', 'Cart Page', 'Product Detail Page', 'Checkout Page', 'Order Confirmation Page', 'Homepage']",2024-09-11 17:15:02
SESS_0134,CUST_0666,"['Category Page', 'Homepage', 'Checkout Page', 'Cart Page', 'Order Confirmation Page']",2024-01-04 13:40:32
SESS_0135,CUST_0661,"['Checkout Page', 'Category Page', 'Homepage', 'Order Confirmation Page']",2023-06-15 02:09:22
SESS_0136,CUST_0268,"['Product Detail Page', 'Homepage', 'Category Page', 'Order Confirmation Page', 'Checkout Page']",2023-04-23 06:21:03
SESS_0137,CUST_0335,"['Cart Page', 'Category Page', 'Checkout Page', 'Order Confirmation Page']",2023-04-06 04:28:58
SESS_0138,CUST_0997,"['Cart Page', 'Category Page', 'Checkout Page', 'Order Confirmation Page', 'Product Detail Page', 'Homepage']",2024-09-05 09:53:17
SESS_0139,CUST_0751,"['Category Page', 'Cart Page', 'Order Confirmation Page', 'Homepage']",2023-10-18 13:17:07
SESS_0140,CUST_0566,"['Cart Page', 'Product Detail Page', 'Category Page', 'Homepage']",2023-12-01 04:19:53
SESS_0141,CUST_0024,"['Order Confirmation Page', 'Homepage', 'Category Page', 'Checkout Page', 'Product Detail Page']",2023-08-31 15:50:11
SESS_0142,CUST_0470,"['Cart Page', 'Checkout Page', 'Order Confirmation Page', 'Product Detail Page']",2023-08-14 06:00:28
SESS_0143,CUST_0649,"['Cart Page', 'Order Confirmation Page', 'Checkout Page']",2023-08-21 02:51:47
SESS_0144,CUST_0527,"['Homepage', 'Order Confirmation Page', 'Checkout Page', 'Category Page', 'Product Detail Page', 'Cart Page']",2023-09-09 18:09:41
SESS_0145,CUST_0271,"['Homepage', 'Category Page', 'Checkout Page', 'Cart Page', 'Product Detail Page']",2023-09-27 01:21:27
SESS_0146,CUST_0255,"['Order Confirmation Page', 'Cart Page', 'Checkout Page', 'Homepage', 'Category Page']",2023-09-04 17:09:49
SESS_0147,CUST_0166,"['Checkout Page', 'Cart Page', 'Category Page']",2023-01-18 18:37:57
SESS_0148,CUST_0567,"['Cart Page', 'Homepage', 'Product Detail Page', 'Checkout Page', 'Category Page']",2024-07-31 20:18:20
SESS_0149,CUST_0959,"['Checkout Page', 'Product Detail Page', 'Homepage', 'Order Confirmation Page']",2024-04-10 06:15:27
SESS_0150,CUST_0742,"['Checkout Page', 'Order Confirmation Page', 'Product Detail Page', 'Cart Page']",2023-07-06 14:53:54
SESS_0151,CUST_0925,"['Order Confirmation Page', 'Homepage', 'Category Page', 'Product Detail Page', 'Cart Page', 'Checkout Page']",2023-10-07 05:14:14
SESS_0152,CUST_0381,"['Checkout Page', 'Homepage', 'Cart Page', 'Product Detail Page', 'Order Confirmation Page']",2024-04-25 17:37:54
SESS_0153,CUST_0577,"['Homepage', 'Product Detail Page', 'Cart Page', 'Order Confirmation Page', 'Category Page', 'Checkout Page']",2024-03-15 14:36:27
SESS_0154,CUST_0977,"['Order Confirmation Page', 'Checkout Page', 'Product Detail Page', 'Category Page']",2022-09-01 00:29:31
SESS_0155,CUST_0540,"['Checkout Page', 'Cart Page', 'Category Page', 'Homepage']",2023-03-24 22:17:47
SESS_0156,CUST_0205,"['Checkout Page', 'Homepage', 'Order Confirmation Page']",2023-02-27 21:41:20
SESS_0157,CUST_0938,"['Category Page', 'Order Confirmation Page', 'Checkout Page', 'Cart Page', 'Homepage', 'Product Detail Page']",2024-08-06 03:22:21
SESS_0158,CUST_0617,"['Order Confirmation Page', 'Checkout Page', 'Homepage', 'Cart Page', 'Category Page', 'Product Detail Page']",2022-12-27 18:19:19
SESS_0159,CUST_0928,"['Order Confirmation Page', 'Cart Page', 'Product Detail Page']",2022-09-12 19:25:16
SESS_0160,CUST_0187,"['Order Confirmation Page', 'Homepage', 'Category Page', 'Product Detail Page']",2024-05-15 22:43:49
SESS_0161,CUST_0012,"['Order Confirmation Page', 'Checkout Page', 'Category Page', 'Cart Page', 'Homepage', 'Product Detail Page']",2023-08-26 07:43:31
SESS_0162,CUST_0285,"['Cart Page', 'Checkout Page', 'Category Page', 'Order Confirmation Page', 'Product Detail Page', 'Homepage']",2023-02-05 01:35:59
SESS_0163,CUST_0182,"['Homepage', 'Category Page', 'Product Detail Page', 'Cart Page', 'Checkout Page']",2024-07-05 15:01:42
SESS_0164,CUST_0364,"['Cart Page', 'Checkout Page', 'Category Page']",2023-06-30 08:26:57
SESS_0165,CUST_0262,"['Category Page', 'Checkout Page', 'Homepage', 'Order Confirmation Page', 'Product Detail Page', 'Cart Page']",2023-01-29 07:36:55
SESS_0166,CUST_0623,"['Cart Page', 'Category Page', 'Homepage', 'Checkout Page']",2023-07-25 07:07:29
SESS_0167,CUST_0145,"['Product Detail Page', 'Cart Page', 'Order Confirmation Page', 'Homepage', 'Checkout Page']",2022-10-15 17:05:18
SESS_0168,CUST_0696,"['Product Detail Page', 'Checkout Page', 'Order Confirmation Page']",2023-07-04 21:05:51
SESS_0169,CUST_0323,"['Homepage', 'Order Confirmation Page', 'Cart Page', 'Checkout Page', 'Category Page']",2022-11-11 13:47:36
SESS_0170,CUST_0405,"['Order Confirmation Page', 'Cart Page', 'Product Detail Page', 'Checkout Page', 'Homepage']",2024-03-26 21:29:37
SESS_0171,CUST_0737,"['Cart Page', 'Homepage', 'Order Confirmation Page', 'Product Detail Page', 'Category Page', 'Checkout Page']",2024-04-17 00:04:35
SESS_0172,CUST_0239,"['Cart Page', 'Product Detail Page', 'Order Confirmation Page', 'Category Page']",2022-12-21 02:31:50
SESS_0173,CUST_0184,"['Category Page', 'Checkout Page', 'Cart Page', 'Homepage', 'Order Confirmation Page', 'Product Detail Page']",2023-12-15 13:07:45
SESS_0174,CUST_0248,"['Order Confirmation Page', 'Checkout Page', 'Cart Page', 'Homepage', 'Category Page']",2023-01-14 13:27:12
SESS_0175,CUST_0782,"['Product Detail Page', 'Homepage', 'Cart Page', 'Order Confirmation Page', 'Checkout Page', 'Category Page']",2022-11-27 19:19:26
SESS_0176,CUST_0166,"['Product Detail Page', 'Category Page', 'Order Confirmation Page', 'Homepage', 'Cart Page', 'Checkout Page']",2024-03-03 04:29:37
SESS_0177,CUST_0063,"['Checkout Page', 'Cart Page', 'Order Confirmation Page']",2023-11-10 19:47:18
SESS_0178,CUST_0852,"['Category Page', 'Homepage', 'Product Detail Page', 'Checkout Page', 'Order Confirmation Page', 'Cart Page']",2024-08-31 09:34:59
SESS_0179,CUST_0558,"['Cart Page', 'Product Detail Page', 'Checkout Page', 'Homepage', 'Order Confirmation Page', 'Category Page']",2023-07-17 15:48:07
SESS_0180,CUST_0264,"['Cart Page', 'Checkout Page', 'Order Confirmation Page', 'Homepage', 'Product Detail Page']",2023-01-05 01:28:39
SESS_0181,CUST_0272,"['Product Detail Page', 'Checkout Page', 'Cart Page', 'Category Page', 'Homepage']",2022-11-30 12:32:00
SESS_0182,CUST_0301,"['Order Confirmation Page', 'Product Detail Page', 'Checkout Page', 'Homepage', 'Category Page']",2022-08-15 12:37:04
SESS_0183,CUST_0807,"['Product Detail Page', 'Checkout Page', 'Cart Page', 'Homepage']",2023-09-25 07:38:35
SESS_0184,CUST_0812,"['Cart Page', 'Checkout Page', 'Category Page']",2023-11-10 21:10:09
SESS_0185,CUST_0696,"['Checkout Page', 'Order Confirmation Page', 'Category Page', 'Cart Page']",2023-07-19 19:34:41
SESS_0186,CUST_0852,"['Checkout Page', 'Homepage', 'Cart Page', 'Product Detail Page']",2024-01-27 23:30:27
SESS_0187,CUST_0335,"['Product Detail Page', 'Checkout Page', 'Category Page', 'Cart Page', 'Homepage', 'Order Confirmation Page']",2023-11-07 05:13:45
SESS_0188,CUST_0208,"['Homepage', 'Product Detail Page', 'Cart Page', 'Order Confirmation Page', 'Checkout Page']",2023-06-01 13:13:58
SESS_0189,CUST_0221,"['Homepage', 'Category Page', 'Order Confirmation Page']",2022-09-22 04:47:46
SESS_0190,CUST_0094,"['Category Page', 'Cart Page', 'Checkout Page', 'Product Detail Page', 'Homepage']",2024-03-16 05:51:50
SESS_0191,CUST_0343,"['Product Detail Page', 'Category Page', 'Homepage', 'Cart Page', 'Checkout Page', 'Order Confirmation Page']",2022-09-05 12:46:28
SESS_0192,CUST_0015,"['Category Page', 'Order Confirmation Page', 'Cart Page', 'Homepage', 'Product Detail Page', 'Checkout Page']",2024-02-29 08:32:03
SESS_0193,CUST_0937,"['Homepage', 'Order Confirmation Page', 'Cart Page']",2024-02-24 11:23:40
SESS_0194,CUST_0784,"['Order Confirmation Page', 'Product Detail Page', 'Checkout Page', 'Homepage']",2022-09-13 08:46:19
SESS_0195,CUST_0025,"['Checkout Page', 'Category Page', 'Homepage']",2023-01-20 00:40:18
SESS_0196,CUST_0257,"['Homepage', 'Order Confirmation Page', 'Cart Page']",2023-09-28 01:05:24
SESS_0197,CUST_0357,"['Cart Page', 'Homepage', 'Category Page']",2023-04-19 21:19:21
SESS_0198,CUST_0043,"['Cart Page', 'Product Detail Page', 'Order Confirmation Page']",2023-12-11 12:20:11
SESS_0199,CUST_0723,"['Product Detail Page', 'Checkout Page', 'Cart Page', 'Order Confirmation Page', 'Category Page', 'Homepage']",2024-03-01 20:24:55
SESS_0200,CUST_0400,"['Cart Page', 'Category Page', 'Homepage', 'Product Detail Page']",2023-10-14 21:39:26
SESS_0201,CUST_0043,"['Homepage', 'Category Page', 'Checkout Page', 'Cart Page', 'Order Confirmation Page']",2022-08-13 23:37:21
SESS_0202,CUST_0265,"['Cart Page', 'Checkout Page', 'Order Confirmation Page']",2024-02-22 19:04:47
