Transaction ID,Promotion Type,Promotional Period
TXN_0389,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0390,No Promotion,
TXN_0391,No Promotion,
TXN_0392,10% Off,2024-09-01 to 2024-09-15
TXN_0393,No Promotion,
TXN_0394,Free Shipping,2024-07-01 to 2024-07-15
TXN_0395,No Promotion,
TXN_0396,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0397,No Promotion,
TXN_0398,No Promotion,
TXN_0399,No Promotion,
TXN_0400,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0401,No Promotion,
TXN_0402,No Promotion,
TXN_0403,No Promotion,
TXN_0404,Free Shipping,2024-07-01 to 2024-07-15
TXN_0405,No Promotion,
TXN_0406,10% Off,2024-03-01 to 2024-03-31
TXN_0407,No Promotion,
TXN_0408,Buy 1 Get 1 Free,2024-06-01 to 2024-06-15
TXN_0409,10% Off,2022-10-01 to 2022-10-31
TXN_0410,No Promotion,
TXN_0411,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0412,No Promotion,
TXN_0413,10% Off,2023-02-01 to 2023-02-15
TXN_0414,Free Shipping,2022-09-01 to 2022-09-30
TXN_0415,No Promotion,
TXN_0416,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0417,10% Off,2022-10-01 to 2022-10-31
TXN_0418,No Promotion,
TXN_0419,Free Shipping,2023-09-15 to 2023-09-30
TXN_0420,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0421,No Promotion,
TXN_0422,Free Shipping,2023-09-15 to 2023-09-30
TXN_0423,No Promotion,
TXN_0424,No Promotion,
TXN_0425,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0426,No Promotion,
TXN_0427,No Promotion,
TXN_0428,No Promotion,
TXN_0429,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0430,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0431,No Promotion,
TXN_0432,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0433,10% Off,2024-03-01 to 2024-03-31
TXN_0434,10% Off,2024-03-01 to 2024-03-31
TXN_0435,No Promotion,
TXN_0436,No Promotion,
TXN_0437,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0438,10% Off,2024-09-01 to 2024-09-15
TXN_0439,No Promotion,
TXN_0440,No Promotion,
TXN_0441,No Promotion,
TXN_0442,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0443,No Promotion,
TXN_0444,Free Shipping,2022-09-01 to 2022-09-30
TXN_0445,No Promotion,
TXN_0446,No Promotion,
TXN_0447,Free Shipping,2023-09-15 to 2023-09-30
TXN_0448,No Promotion,
TXN_0449,No Promotion,
TXN_0450,Free Shipping,2022-09-01 to 2022-09-30
TXN_0451,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0452,No Promotion,
TXN_0453,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0454,No Promotion,
TXN_0455,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0456,10% Off,2023-07-01 to 2023-07-15
TXN_0457,No Promotion,
TXN_0458,No Promotion,
TXN_0459,No Promotion,
TXN_0460,No Promotion,
TXN_0461,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0462,No Promotion,
TXN_0463,No Promotion,
TXN_0464,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0465,No Promotion,
TXN_0466,No Promotion,
TXN_0467,10% Off,2024-03-01 to 2024-03-31
TXN_0468,No Promotion,
TXN_0469,No Promotion,
TXN_0470,No Promotion,
TXN_0471,No Promotion,
TXN_0472,10% Off,2024-03-01 to 2024-03-31
TXN_0473,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0474,No Promotion,
TXN_0475,No Promotion,
TXN_0476,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0477,No Promotion,
TXN_0478,No Promotion,
TXN_0479,No Promotion,
TXN_0480,No Promotion,
TXN_0481,No Promotion,
TXN_0482,No Promotion,
TXN_0483,Free Shipping,2024-07-01 to 2024-07-15
TXN_0484,No Promotion,
TXN_0485,No Promotion,
TXN_0486,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0487,No Promotion,
TXN_0488,No Promotion,
TXN_0489,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0490,Buy 1 Get 1 Free,2024-06-01 to 2024-06-15
TXN_0491,No Promotion,
TXN_0492,No Promotion,
TXN_0493,No Promotion,
TXN_0494,No Promotion,
TXN_0495,No Promotion,
TXN_0496,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0497,Free Shipping,2022-09-01 to 2022-09-30
TXN_0498,10% Off,2023-07-01 to 2023-07-15
TXN_0499,No Promotion,
TXN_0500,Free Shipping,2023-09-15 to 2023-09-30
TXN_0501,No Promotion,
TXN_0502,No Promotion,
TXN_0503,Free Shipping,2022-09-01 to 2022-09-30
TXN_0504,No Promotion,
TXN_0505,10% Off,2022-10-01 to 2022-10-31
TXN_0506,No Promotion,
TXN_0507,No Promotion,
TXN_0508,No Promotion,
TXN_0509,No Promotion,
TXN_0510,10% Off,2022-10-01 to 2022-10-31
TXN_0511,No Promotion,
TXN_0512,10% Off,2022-10-01 to 2022-10-31
TXN_0513,No Promotion,
TXN_0514,10% Off,2023-07-01 to 2023-07-15
TXN_0515,No Promotion,
TXN_0516,No Promotion,
TXN_0517,No Promotion,
TXN_0518,No Promotion,
TXN_0519,No Promotion,
TXN_0520,No Promotion,
TXN_0521,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0522,No Promotion,
TXN_0523,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0524,No Promotion,
TXN_0525,No Promotion,
TXN_0526,No Promotion,
TXN_0527,No Promotion,
TXN_0528,10% Off,2022-10-01 to 2022-10-31
TXN_0529,No Promotion,
TXN_0530,No Promotion,
TXN_0531,No Promotion,
TXN_0532,Free Shipping,2023-10-01 to 2023-10-15
TXN_0533,No Promotion,
TXN_0534,No Promotion,
TXN_0535,No Promotion,
TXN_0536,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0537,No Promotion,
TXN_0538,10% Off,2022-10-01 to 2022-10-31
TXN_0539,No Promotion,
TXN_0540,No Promotion,
TXN_0541,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0542,No Promotion,
TXN_0543,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0544,10% Off,2023-07-01 to 2023-07-15
TXN_0545,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0546,No Promotion,
TXN_0547,10% Off,2024-09-01 to 2024-09-15
TXN_0548,Free Shipping,2022-09-01 to 2022-09-30
TXN_0549,No Promotion,
TXN_0550,Free Shipping,2023-09-15 to 2023-09-30
TXN_0551,No Promotion,
TXN_0552,No Promotion,
TXN_0553,No Promotion,
TXN_0554,No Promotion,
TXN_0555,Free Shipping,2023-09-15 to 2023-09-30
TXN_0556,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0557,10% Off,2024-03-01 to 2024-03-31
TXN_0558,No Promotion,
TXN_0559,No Promotion,
TXN_0560,10% Off,2023-07-01 to 2023-07-15
TXN_0561,Buy 1 Get 1 Free,2024-06-01 to 2024-06-15
TXN_0562,10% Off,2023-07-01 to 2023-07-15
TXN_0563,10% Off,2024-03-01 to 2024-03-31
TXN_0564,10% Off,2022-10-01 to 2022-10-31
TXN_0565,10% Off,2023-07-01 to 2023-07-15
TXN_0566,No Promotion,
TXN_0567,10% Off,2022-10-01 to 2022-10-31
TXN_0568,No Promotion,
TXN_0569,No Promotion,
TXN_0570,Buy 1 Get 1 Free,2024-06-01 to 2024-06-15
TXN_0571,No Promotion,
TXN_0572,10% Off,2024-09-01 to 2024-09-15
TXN_0573,Free Shipping,2023-09-15 to 2023-09-30
TXN_0574,No Promotion,
TXN_0575,No Promotion,
TXN_0576,10% Off,2024-03-01 to 2024-03-31
TXN_0577,10% Off,2022-10-01 to 2022-10-31
TXN_0578,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0579,No Promotion,
TXN_0580,Buy 1 Get 1 Free,2024-06-01 to 2024-06-15
TXN_0581,Free Shipping,2022-09-01 to 2022-09-30
TXN_0582,No Promotion,
TXN_0583,Free Shipping,2024-07-01 to 2024-07-15
TXN_0584,Free Shipping,2023-09-15 to 2023-09-30
TXN_0585,Free Shipping,2022-09-01 to 2022-09-30
TXN_0586,No Promotion,
TXN_0587,No Promotion,
TXN_0588,No Promotion,
TXN_0589,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0590,10% Off,2024-03-01 to 2024-03-31
TXN_0591,No Promotion,
TXN_0592,No Promotion,
TXN_0593,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0594,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0595,Free Shipping,2023-09-15 to 2023-09-30
TXN_0596,10% Off,2022-10-01 to 2022-10-31
TXN_0597,No Promotion,
TXN_0598,No Promotion,
TXN_0599,No Promotion,
TXN_0600,No Promotion,
TXN_0601,No Promotion,
TXN_0602,No Promotion,
TXN_0603,10% Off,2022-10-01 to 2022-10-31
TXN_0604,Buy 1 Get 1 Free,2024-06-01 to 2024-06-15
TXN_0605,No Promotion,
TXN_0606,No Promotion,
TXN_0607,No Promotion,
TXN_0608,No Promotion,
TXN_0609,No Promotion,
TXN_0610,No Promotion,
TXN_0611,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
TXN_0612,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0613,No Promotion,
TXN_0614,10% Off,2024-09-01 to 2024-09-15
TXN_0615,10% Off,2024-03-01 to 2024-03-31
TXN_0616,No Promotion,
TXN_0617,10% Off,2022-10-01 to 2022-10-31
TXN_0618,No Promotion,
TXN_0619,No Promotion,
TXN_0620,Free Shipping,2023-10-01 to 2023-10-15
TXN_0621,No Promotion,
TXN_0622,No Promotion,
TXN_0623,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0624,No Promotion,
TXN_0625,10% Off,2023-07-01 to 2023-07-15
TXN_0626,No Promotion,
TXN_0627,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0628,No Promotion,
TXN_0629,No Promotion,
TXN_0630,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0631,No Promotion,
TXN_0632,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0633,No Promotion,
TXN_0634,10% Off,2024-03-01 to 2024-03-31
TXN_0635,No Promotion,
TXN_0636,No Promotion,
TXN_0637,No Promotion,
TXN_0638,No Promotion,
TXN_0639,Free Shipping,2022-09-01 to 2022-09-30
TXN_0640,Buy 1 Get 1 Free,2023-11-25 to 2023-12-25
TXN_0641,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0642,No Promotion,
TXN_0643,No Promotion,
TXN_0644,No Promotion,
TXN_0645,No Promotion,
TXN_0646,10% Off,2024-09-01 to 2024-09-15
TXN_0647,10% Off,2024-09-01 to 2024-09-15
TXN_0648,No Promotion,
TXN_0649,No Promotion,
TXN_0650,Buy 1 Get 1 Free,2022-12-01 to 2022-12-31
TXN_0651,Buy 1 Get 1 Free,2023-08-15 to 2023-09-15
TXN_0652,Buy 1 Get 1 Free,2022-08-01 to 2022-08-31
